day,rainfall_mm,date
1,0.0,2024-01-01
2,0.0,2024-01-02
3,0.0,2024-01-03
4,0.0,2024-01-04
5,0.0,2024-01-05
6,0.0,2024-01-06
7,0.0,2024-01-07
8,0.0,2024-01-08
9,0.0,2024-01-09
10,0.0,2024-01-10
11,0.0,2024-01-11
12,0.0,2024-01-12
13,0.0,2024-01-13
14,0.0,2024-01-14
15,0.0,2024-01-15
16,0.0,2024-01-16
17,0.0,2024-01-17
18,0.0,2024-01-18
19,0.0,2024-01-19
20,0.0,2024-01-20
21,0.0,2024-01-21
22,0.0,2024-01-22
23,0.0,2024-01-23
24,0.0,2024-01-24
25,0.0,2024-01-25
26,0.0,2024-01-26
27,0.0,2024-01-27
28,0.0,2024-01-28
29,0.0,2024-01-29
30,0.0,2024-01-30
31,0.0,2024-01-31
32,9.766698,2024-02-01
33,16.324167,2024-02-02
34,0.0,2024-02-03
35,0.26239726,2024-02-04
36,5.249617,2024-02-05
37,1.8050872,2024-02-06
38,0.0,2024-02-07
39,0.0,2024-02-08
40,0.0,2024-02-09
41,0.0,2024-02-10
42,0.0,2024-02-11
43,0.0,2024-02-12
44,0.0,2024-02-13
45,0.0,2024-02-14
46,0.0,2024-02-15
47,0.0,2024-02-16
48,0.0,2024-02-17
49,0.0,2024-02-18
50,0.0,2024-02-19
51,4.2383313,2024-02-20
52,0.0,2024-02-21
53,0.0,2024-02-22
54,0.0,2024-02-23
55,0.0,2024-02-24
56,0.0,2024-02-25
57,0.0,2024-02-26
58,0.0,2024-02-27
59,1.560245,2024-02-28
60,0.0,2024-02-29
61,0.0,2024-03-01
62,6.932217,2024-03-02
63,42.78672,2024-03-03
64,38.940136,2024-03-04
65,0.0,2024-03-05
66,0.0,2024-03-06
67,0.0,2024-03-07
68,0.0,2024-03-08
69,0.0,2024-03-09
70,0.0,2024-03-10
71,0.0,2024-03-11
72,0.0,2024-03-12
73,0.0,2024-03-13
74,1.9182788,2024-03-14
75,0.0,2024-03-15
76,0.0,2024-03-16
77,0.0,2024-03-17
78,0.0,2024-03-18
79,0.174389,2024-03-19
80,0.0,2024-03-20
81,0.0,2024-03-21
82,0.0,2024-03-22
83,0.0,2024-03-23
84,0.0,2024-03-24
85,0.0,2024-03-25
86,0.0,2024-03-26
87,0.0,2024-03-27
88,1.0749694,2024-03-28
89,0.0,2024-03-29
90,0.10963638,2024-03-30
91,2.911469,2024-03-31
92,3.4877799,2024-04-01
93,0.0,2024-04-02
94,0.0,2024-04-03
95,0.0,2024-04-04
96,0.0,2024-04-05
97,0.0,2024-04-06
98,0.0,2024-04-07
99,0.0,2024-04-08
100,0.0,2024-04-09
101,0.0,2024-04-10
102,0.0,2024-04-11
103,0.0,2024-04-12
104,0.0,2024-04-13
105,0.0,2024-04-14
106,0.0,2024-04-15
107,0.0,2024-04-16
108,0.0,2024-04-17
109,0.0,2024-04-18
110,0.0,2024-04-19
111,2.6466475,2024-04-20
112,0.0,2024-04-21
113,0.0,2024-04-22
114,0.523167,2024-04-23
115,1.395112,2024-04-24
116,0.0,2024-04-25
117,0.0,2024-04-26
118,7.149948,2024-04-27
119,0.0,2024-04-28
120,0.0,2024-04-29
121,0.0,2024-04-30
122,0.0,2024-05-01
123,0.0,2024-05-02
124,0.0,2024-05-03
125,0.0,2024-05-04
126,0.0,2024-05-05
127,0.0,2024-05-06
128,0.0,2024-05-07
129,0.0,2024-05-08
130,1.0668179,2024-05-09
131,0.0,2024-05-10
132,16.787334,2024-05-11
133,3.3163133,2024-05-12
134,0.0,2024-05-13
135,0.0,2024-05-14
136,0.0,2024-05-15
137,0.0,2024-05-16
138,0.0,2024-05-17
139,0.0,2024-05-18
140,0.0,2024-05-19
141,9.717653,2024-05-20
142,8.519834,2024-05-21
143,2.1860912,2024-05-22
144,0.0,2024-05-23
145,0.0,2024-05-24
146,0.0,2024-05-25
147,10.358143,2024-05-26
148,3.376204,2024-05-27
149,0.0,2024-05-28
150,5.4289865,2024-05-29
151,0.0,2024-05-30
152,0.0,2024-05-31
153,0.0,2024-06-01
154,0.0,2024-06-02
155,0.0,2024-06-03
156,20.75061,2024-06-04
157,7.904408,2024-06-05
158,13.31494,2024-06-06
159,0.0,2024-06-07
160,0.0,2024-06-08
161,0.0,2024-06-09
162,0.0,2024-06-10
